Freq.	I(D1)
1.17219536554813e+001	(-1.45101601011585e+002dB,3.03436559318440e-001°)
1.17489755493953e+001	(-1.45101600449351e+002dB,3.04136039705660e-001°)
1.17760597352080e+001	(-1.45101599884523e+002dB,3.04837132469142e-001°)
1.18032063565173e+001	(-1.45101599317087e+002dB,3.05539841327457e-001°)
1.18304155572516e+001	(-1.45101598747032e+002dB,3.06244170004550e-001°)
1.18576874816716e+001	(-1.45101598174346e+002dB,3.06950122234351e-001°)
1.18850222743701e+001	(-1.45101597599017e+002dB,3.07657701758472e-001°)
1.19124200802737e+001	(-1.45101597021032e+002dB,3.08366912327739e-001°)
1.19398810446427e+001	(-1.45101596440379e+002dB,3.09077757701429e-001°)
1.19674053130724e+001	(-1.45101595857046e+002dB,3.09790241647267e-001°)
1.19949930314937e+001	(-1.45101595271021e+002dB,3.10504367942962e-001°)
1.20226443461741e+001	(-1.45101594682291e+002dB,3.11220140371598e-001°)
1.20503594037179e+001	(-1.45101594090843e+002dB,3.11937562729320e-001°)
1.20781383510678e+001	(-1.45101593496666e+002dB,3.12656638817646e-001°)
1.21059813355048e+001	(-1.45101592899746e+002dB,3.13377372449615e-001°)
1.21338885046497e+001	(-1.45101592300071e+002dB,3.14099767444411e-001°)
1.21618600064636e+001	(-1.45101591697628e+002dB,3.14823827631202e-001°)
1.21898959892486e+001	(-1.45101591092404e+002dB,3.15549556848371e-001°)
1.22179966016487e+001	(-1.45101590484387e+002dB,3.16276958941985e-001°)
1.22461619926504e+001	(-1.45101589873563e+002dB,3.17006037769628e-001°)
1.22743923115840e+001	(-1.45101589259921e+002dB,3.17736797193492e-001°)
1.23026877081238e+001	(-1.45101588643445e+002dB,3.18469241088060e-001°)
1.23310483322890e+001	(-1.45101588024125e+002dB,3.19203373335493e-001°)
1.23594743344450e+001	(-1.45101587401945e+002dB,3.19939197827937e-001°)
1.23879658653036e+001	(-1.45101586776894e+002dB,3.20676718465218e-001°)
1.24165230759240e+001	(-1.45101586148958e+002dB,3.21415939156377e-001°)
1.24451461177138e+001	(-1.45101585518124e+002dB,3.22156863819673e-001°)
1.24738351424294e+001	(-1.45101584884378e+002dB,3.22899496382580e-001°)
1.25025903021771e+001	(-1.45101584247707e+002dB,3.23643840781788e-001°)
1.25314117494141e+001	(-1.45101583608097e+002dB,3.24389900962435e-001°)
1.25602996369487e+001	(-1.45101582965535e+002dB,3.25137680878874e-001°)
1.25892541179416e+001	(-1.45101582320007e+002dB,3.25887184494675e-001°)
1.26182753459066e+001	(-1.45101581671499e+002dB,3.26638415782623e-001°)
1.26473634747114e+001	(-1.45101581019999e+002dB,3.27391378725489e-001°)
1.26765186585784e+001	(-1.45101580365491e+002dB,3.28146077313721e-001°)
1.27057410520853e+001	(-1.45101579707962e+002dB,3.28902515547752e-001°)
1.27350308101665e+001	(-1.45101579047398e+002dB,3.29660697436462e-001°)
1.27643880881134e+001	(-1.45101578383786e+002dB,3.30420626999484e-001°)
1.27938130415752e+001	(-1.45101577717110e+002dB,3.31182308264128e-001°)
1.28233058265601e+001	(-1.45101577047357e+002dB,3.31945745267690e-001°)
1.28528665994361e+001	(-1.45101576374513e+002dB,3.32710942057450e-001°)
1.28824955169313e+001	(-1.45101575668018e+002dB,3.33477901515615e-001°)
1.29121927361353e+001	(-1.45101574988948e+002dB,3.34246630050692e-001°)
1.29419584144998e+001	(-1.45101574306744e+002dB,3.35017130568321e-001°)
1.29717927098395e+001	(-1.45101573621392e+002dB,3.35789407151106e-001°)
1.30016957803328e+001	(-1.45101572932876e+002dB,3.36563463892403e-001°)
1.30316677845229e+001	(-1.45101572241182e+002dB,3.37339304895551e-001°)
1.30617088813183e+001	(-1.45101571546295e+002dB,3.38116934273105e-001°)
1.30918192299940e+001	(-1.45101570848201e+002dB,3.38896356146833e-001°)
1.31219989901920e+001	(-1.45101570146885e+002dB,3.39677574646184e-001°)
1.31522483219223e+001	(-1.45101569442332e+002dB,3.40460593915199e-001°)
1.31825673855640e+001	(-1.45101568734527e+002dB,3.41245418100987e-001°)
1.32129563418657e+001	(-1.45101568023455e+002dB,3.42032051366789e-001°)
1.32434153519466e+001	(-1.45101567309101e+002dB,3.42820497878141e-001°)
1.32739445772973e+001	(-1.45101566591449e+002dB,3.43610761817482e-001°)
1.33045441797808e+001	(-1.45101565870486e+002dB,3.44402847371085e-001°)
1.33352143216332e+001	(-1.45101565146194e+002dB,3.45196758739049e-001°)
1.33659551654643e+001	(-1.45101564418560e+002dB,3.45992500128381e-001°)
1.33967668742593e+001	(-1.45101563687567e+002dB,3.46790075757608e-001°)
1.34276496113785e+001	(-1.45101562953200e+002dB,3.47589489852935e-001°)
1.34586035405594e+001	(-1.45101562215444e+002dB,3.48390746652856e-001°)
1.34896288259164e+001	(-1.45101561474282e+002dB,3.49193850403541e-001°)
1.35207256319427e+001	(-1.45101560729699e+002dB,3.49998805361911e-001°)
1.35518941235103e+001	(-1.45101559981680e+002dB,3.50805615794871e-001°)
1.35831344658714e+001	(-1.45101559230208e+002dB,3.51614285977002e-001°)
1.36144468246594e+001	(-1.45101558475268e+002dB,3.52424820197479e-001°)
1.36458313658891e+001	(-1.45101557716843e+002dB,3.53237222750078e-001°)
1.36772882559584e+001	(-1.45101556954917e+002dB,3.54051497941636e-001°)
1.37088176616484e+001	(-1.45101556189475e+002dB,3.54867650087429e-001°)
1.37404197501251e+001	(-1.45101555420500e+002dB,3.55685683514258e-001°)
1.37720946889394e+001	(-1.45101554647975e+002dB,3.56505602556598e-001°)
1.38038426460287e+001	(-1.45101553871885e+002dB,3.57327411561979e-001°)
1.38356637897177e+001	(-1.45101553092213e+002dB,3.58151114884842e-001°)
1.38675582887188e+001	(-1.45101552308942e+002dB,3.58976716891144e-001°)
1.38995263121334e+001	(-1.45101551522056e+002dB,3.59804221957594e-001°)
1.39315680294529e+001	(-1.45101550731537e+002dB,3.60633634468577e-001°)
1.39636836105593e+001	(-1.45101549937371e+002dB,3.61464958821534e-001°)
1.39958732257261e+001	(-1.45101549108993e+002dB,3.62298198149022e-001°)
1.40281370456195e+001	(-1.45101548307478e+002dB,3.63133359411397e-001°)
1.40604752412990e+001	(-1.45101547502263e+002dB,3.63970445764109e-001°)
1.40928879842186e+001	(-1.45101546693332e+002dB,3.64809461645294e-001°)
1.41253754462274e+001	(-1.45101545880668e+002dB,3.65650411499994e-001°)
1.41579377995707e+001	(-1.45101545064252e+002dB,3.66493299786308e-001°)
1.41905752168908e+001	(-1.45101544244068e+002dB,3.67338130971547e-001°)
1.42232878712281e+001	(-1.45101543420099e+002dB,3.68184909533002e-001°)
1.42560759360218e+001	(-1.45101542592326e+002dB,3.69033639960255e-001°)
1.42889395851109e+001	(-1.45101541760733e+002dB,3.69884326750557e-001°)
1.43218789927353e+001	(-1.45101540925301e+002dB,3.70736974411914e-001°)
1.43548943335364e+001	(-1.45101540086013e+002dB,3.71591587465384e-001°)
1.43879857825583e+001	(-1.45101539242852e+002dB,3.72448170438932e-001°)
1.44211535152486e+001	(-1.45101538395799e+002dB,3.73306727873579e-001°)
1.44543977074592e+001	(-1.45101537544836e+002dB,3.74167264318789e-001°)
1.44877185354475e+001	(-1.45101536689946e+002dB,3.75029784336312e-001°)
1.45211161758773e+001	(-1.45101535831109e+002dB,3.75894292496341e-001°)
1.45545908058195e+001	(-1.45101534968309e+002dB,3.76760793383661e-001°)
1.45881426027534e+001	(-1.45101534101526e+002dB,3.77629291587658e-001°)
1.46217717445671e+001	(-1.45101533230743e+002dB,3.78499791712309e-001°)
1.46554784095590e+001	(-1.45101532355940e+002dB,3.79372298372339e-001°)
1.46892627764385e+001	(-1.45101531477100e+002dB,3.80246816190918e-001°)
1.47231250243271e+001	(-1.45101530594204e+002dB,3.81123349803499e-001°)
1.47570653327588e+001	(-1.45101529707232e+002dB,3.82001903855517e-001°)
1.47910838816819e+001	(-1.45101528816166e+002dB,3.82882483004691e-001°)
1.48251808514594e+001	(-1.45101527920988e+002dB,3.83765091916416e-001°)
1.48593564228699e+001	(-1.45101527021678e+002dB,3.84649735268369e-001°)
1.48936107771090e+001	(-1.45101526118217e+002dB,3.85536417750516e-001°)
1.49279440957898e+001	(-1.45101525210586e+002dB,3.86425144060494e-001°)
1.49623565609442e+001	(-1.45101524298765e+002dB,3.87315918909763e-001°)
1.49968483550236e+001	(-1.45101523382736e+002dB,3.88208747020532e-001°)
1.50314196609001e+001	(-1.45101522431934e+002dB,3.89103631754322e-001°)
1.50660706618673e+001	(-1.45101521507430e+002dB,3.90000580589938e-001°)
1.51008015416413e+001	(-1.45101520578659e+002dB,3.90899596912008e-001°)
1.51356124843619e+001	(-1.45101519645600e+002dB,3.91800685488803e-001°)
1.51705036745932e+001	(-1.45101518708235e+002dB,3.92703851094733e-001°)
1.52054752973248e+001	(-1.45101517766544e+002dB,3.93609098516490e-001°)
1.52405275379728e+001	(-1.45101516820506e+002dB,3.94516432549978e-001°)
1.52756605823806e+001	(-1.45101515870102e+002dB,3.95425858007995e-001°)
1.53108746168202e+001	(-1.45101514915311e+002dB,3.96337379707938e-001°)
1.53461698279928e+001	(-1.45101513956113e+002dB,3.97251002482563e-001°)
1.53815464030302e+001	(-1.45101512992488e+002dB,3.98166731170760e-001°)
1.54170045294954e+001	(-1.45101512024415e+002dB,3.99084570626778e-001°)
1.54525443953840e+001	(-1.45101511051874e+002dB,4.00004525715613e-001°)
1.54881661891247e+001	(-1.45101510074844e+002dB,4.00926601314545e-001°)
1.55238700995807e+001	(-1.45101509093305e+002dB,4.01850802308523e-001°)
1.55596563160506e+001	(-1.45101508107235e+002dB,4.02777133596321e-001°)
1.55955250282694e+001	(-1.45101507116614e+002dB,4.03705600085919e-001°)
1.56314764264094e+001	(-1.45101506121421e+002dB,4.04636206699119e-001°)
1.56675107010813e+001	(-1.45101505121634e+002dB,4.05568958368468e-001°)
1.57036280433354e+001	(-1.45101504117233e+002dB,4.06503860037259e-001°)
1.57398286446620e+001	(-1.45101503108196e+002dB,4.07440916659531e-001°)
1.57761126969933e+001	(-1.45101502094502e+002dB,4.08380133200069e-001°)
1.58124803927037e+001	(-1.45101501076129e+002dB,4.09321514640553e-001°)
1.58489319246110e+001	(-1.45101500053055e+002dB,4.10265065965719e-001°)
1.58854674859776e+001	(-1.45101499025260e+002dB,4.11210792178740e-001°)
1.59220872705115e+001	(-1.45101497992720e+002dB,4.12158698291992e-001°)
1.59587914723672e+001	(-1.45101496955415e+002dB,4.13108789327061e-001°)
1.59955802861465e+001	(-1.45101495882777e+002dB,4.14061068863233e-001°)
1.60324539069002e+001	(-1.45101494835875e+002dB,4.15015544857078e-001°)
1.60694125301286e+001	(-1.45101493784140e+002dB,4.15972220915795e-001°)
1.61064563517825e+001	(-1.45101492727551e+002dB,4.16931102107024e-001°)
1.61435855682647e+001	(-1.45101491666085e+002dB,4.17892193513760e-001°)
1.61808003764305e+001	(-1.45101490599720e+002dB,4.18855500228207e-001°)
1.62181009735891e+001	(-1.45101489528434e+002dB,4.19821027356385e-001°)
1.62554875575047e+001	(-1.45101488452202e+002dB,4.20788780015062e-001°)
1.62929603263970e+001	(-1.45101487371003e+002dB,4.21758763333285e-001°)
1.63305194789432e+001	(-1.45101486284814e+002dB,4.22730982452383e-001°)
1.63681652142779e+001	(-1.45101485193612e+002dB,4.23705442522891e-001°)
1.64058977319952e+001	(-1.45101484097373e+002dB,4.24682148710699e-001°)
1.64437172321491e+001	(-1.45101482996074e+002dB,4.25661106189367e-001°)
1.64816239152549e+001	(-1.45101481889692e+002dB,4.26642320149349e-001°)
1.65196179822900e+001	(-1.45101480778204e+002dB,4.27625795791838e-001°)
1.65576996346951e+001	(-1.45101479661586e+002dB,4.28611538324164e-001°)
1.65958690743754e+001	(-1.45101478539813e+002dB,4.29599552975157e-001°)
1.66341265037015e+001	(-1.45101477412864e+002dB,4.30589844978242e-001°)
1.66724721255104e+001	(-1.45101476280712e+002dB,4.31582419582198e-001°)
1.67109061431069e+001	(-1.45101475143336e+002dB,4.32577282045011e-001°)
1.67494287602642e+001	(-1.45101474000709e+002dB,4.33574437643096e-001°)
1.67880401812254e+001	(-1.45101472852809e+002dB,4.34573891658996e-001°)
1.68267406107045e+001	(-1.45101471699611e+002dB,4.35575649387537e-001°)
1.68655302538872e+001	(-1.45101470541090e+002dB,4.36579716138897e-001°)
1.69044093164324e+001	(-1.45101469346677e+002dB,4.37586095696689e-001°)
1.69433780044731e+001	(-1.45101468177437e+002dB,4.38594796465180e-001°)
1.69824365246172e+001	(-1.45101467002801e+002dB,4.39605822257619e-001°)
1.70215850839493e+001	(-1.45101465822743e+002dB,4.40619178430225e-001°)
1.70608238900310e+001	(-1.45101464637238e+002dB,4.41634870353035e-001°)
1.71001531509027e+001	(-1.45101463446261e+002dB,4.42652903408365e-001°)
1.71395730750841e+001	(-1.45101462249788e+002dB,4.43673282993883e-001°)
1.71790838715757e+001	(-1.45101461047792e+002dB,4.44696014511849e-001°)
1.72186857498599e+001	(-1.45101459840249e+002dB,4.45721103386026e-001°)
1.72583789199018e+001	(-1.45101458627132e+002dB,4.46748555049380e-001°)
1.72981635921508e+001	(-1.45101457408416e+002dB,4.47778374944081e-001°)
1.73380399775412e+001	(-1.45101456184074e+002dB,4.48810568529186e-001°)
1.73780082874935e+001	(-1.45101454954082e+002dB,4.49845141274497e-001°)
1.74180687339159e+001	(-1.45101453718413e+002dB,4.50882098659015e-001°)
1.74582215292048e+001	(-1.45101452477041e+002dB,4.51921446183244e-001°)
1.74984668862464e+001	(-1.45101451229939e+002dB,4.52963189350741e-001°)
1.75388050184174e+001	(-1.45101449977081e+002dB,4.54007333685028e-001°)
1.75792361395867e+001	(-1.45101448718440e+002dB,4.55053884718826e-001°)
1.76197604641161e+001	(-1.45101447453991e+002dB,4.56102847995600e-001°)
1.76603782068614e+001	(-1.45101446183705e+002dB,4.57154229075700e-001°)
1.77010895831740e+001	(-1.45101444907556e+002dB,4.58208033531755e-001°)
1.77418948089014e+001	(-1.45101443625517e+002dB,4.59264266945593e-001°)
1.77827941003890e+001	(-1.45101442307017e+002dB,4.60322933298675e-001°)
1.78237876744807e+001	(-1.45101441013116e+002dB,4.61384041431241e-001°)
1.78648757485203e+001	(-1.45101439713243e+002dB,4.62447595353027e-001°)
1.79060585403527e+001	(-1.45101438407371e+002dB,4.63513600701115e-001°)
1.79473362683250e+001	(-1.45101437095472e+002dB,4.64582063121789e-001°)
1.79887091512877e+001	(-1.45101435777517e+002dB,4.65652988281294e-001°)
1.80301774085955e+001	(-1.45101434453480e+002dB,4.66726381848928e-001°)
1.80717412601090e+001	(-1.45101433123331e+002dB,4.67802249517024e-001°)
1.81134009261958e+001	(-1.45101431787043e+002dB,4.68880596984041e-001°)
1.81551566277311e+001	(-1.45101430444588e+002dB,4.69961429968400e-001°)
1.81970085860996e+001	(-1.45101429095936e+002dB,4.71044754190035e-001°)
1.82389570231961e+001	(-1.45101427741060e+002dB,4.72130575396527e-001°)
1.82810021614272e+001	(-1.45101426379931e+002dB,4.73218899340047e-001°)
1.83231442237119e+001	(-1.45101425012519e+002dB,4.74309731785036e-001°)
1.83653834334832e+001	(-1.45101423638796e+002dB,4.75403078512824e-001°)
1.84077200146893e+001	(-1.45101422258732e+002dB,4.76498945320090e-001°)
1.84501541917945e+001	(-1.45101420872299e+002dB,4.77597338009636e-001°)
1.84926861897805e+001	(-1.45101419479467e+002dB,4.78698262402685e-001°)
1.85353162341479e+001	(-1.45101418080206e+002dB,4.79801724335811e-001°)
1.85780445509167e+001	(-1.45101416674487e+002dB,4.80907729653249e-001°)
1.86208713666284e+001	(-1.45101415231736e+002dB,4.82016282521039e-001°)
1.86637969083464e+001	(-1.45101413813011e+002dB,4.83127392201894e-001°)
1.87068214036578e+001	(-1.45101412387738e+002dB,4.84241062890300e-001°)
1.87499450806739e+001	(-1.45101410955887e+002dB,4.85357300485730e-001°)
1.87931681680324e+001	(-1.45101409517427e+002dB,4.86476110906080e-001°)
1.88364908948977e+001	(-1.45101408072327e+002dB,4.87597500078442e-001°)
1.88799134909627e+001	(-1.45101406620559e+002dB,4.88721473945256e-001°)
1.89234361864495e+001	(-1.45101405162089e+002dB,4.89848038461231e-001°)
1.89670592121112e+001	(-1.45101403696888e+002dB,4.90977199596426e-001°)
1.90107827992327e+001	(-1.45101402224925e+002dB,4.92108963334704e-001°)
1.90546071796322e+001	(-1.45101400746167e+002dB,4.93243335672204e-001°)
1.90985325856621e+001	(-1.45101399260585e+002dB,4.94380322620407e-001°)
1.91425592502106e+001	(-1.45101397768146e+002dB,4.95519930201528e-001°)
1.91866874067026e+001	(-1.45101396268818e+002dB,4.96662164459277e-001°)
1.92309172891013e+001	(-1.45101394762571e+002dB,4.97807031440411e-001°)
1.92752491319091e+001	(-1.45101393249371e+002dB,4.98954537213180e-001°)
1.93196831701690e+001	(-1.45101391729188e+002dB,5.00104687861178e-001°)
1.93642196394658e+001	(-1.45101390201988e+002dB,5.01257489474122e-001°)
1.94088587759275e+001	(-1.45101388637195e+002dB,5.02412946393349e-001°)
1.94536008162263e+001	(-1.45101387095866e+002dB,5.03571068276470e-001°)
1.94984459975802e+001	(-1.45101385547422e+002dB,5.04731859490349e-001°)
1.95433945577537e+001	(-1.45101383991832e+002dB,5.05895326189151e-001°)
1.95884467350596e+001	(-1.45101382429062e+002dB,5.07061474537775e-001°)
1.96336027683602e+001	(-1.45101380859079e+002dB,5.08230310713384e-001°)
1.96788628970682e+001	(-1.45101379281850e+002dB,5.09401840910025e-001°)
1.97242273611483e+001	(-1.45101377697341e+002dB,5.10576071337086e-001°)
1.97696964011183e+001	(-1.45101376105519e+002dB,5.11753008213149e-001°)
1.98152702580507e+001	(-1.45101374506350e+002dB,5.12932657776750e-001°)
1.98609491735734e+001	(-1.45101372899801e+002dB,5.14115026275617e-001°)
1.99067333898716e+001	(-1.45101371285836e+002dB,5.15300119975896e-001°)
1.99526231496885e+001	(-1.45101369664423e+002dB,5.16487945155999e-001°)
1.99986186963271e+001	(-1.45101368035526e+002dB,5.17678508112755e-001°)
2.00447202736513e+001	(-1.45101366399111e+002dB,5.18871815152184e-001°)
2.00909281260870e+001	(-1.45101364755143e+002dB,5.20067872594110e-001°)
2.01372424986236e+001	(-1.45101363103587e+002dB,5.21266686779847e-001°)
2.01836636368153e+001	(-1.45101361413865e+002dB,5.22468262222585e-001°)
2.02301917867824e+001	(-1.45101359747029e+002dB,5.23672608958567e-001°)
2.02768271952125e+001	(-1.45101358072500e+002dB,5.24879731535887e-001°)
2.03235701093619e+001	(-1.45101356390243e+002dB,5.26089636351072e-001°)
2.03704207770569e+001	(-1.45101354700221e+002dB,5.27302329814450e-001°)
2.04173794466950e+001	(-1.45101353002399e+002dB,5.28517818348613e-001°)
2.04644463672464e+001	(-1.45101351296741e+002dB,5.29736108399180e-001°)
2.05116217882553e+001	(-1.45101349583211e+002dB,5.30957206416348e-001°)
2.05589059598411e+001	(-1.45101347861772e+002dB,5.32181118870263e-001°)
2.06062991326997e+001	(-1.45101346132388e+002dB,5.33407852246412e-001°)
2.06538015581050e+001	(-1.45101344395022e+002dB,5.34637413044081e-001°)
2.07014134879101e+001	(-1.45101342649637e+002dB,5.35869807779431e-001°)
2.07491351745488e+001	(-1.45101340896197e+002dB,5.37105042979350e-001°)
2.07969668710366e+001	(-1.45101339134664e+002dB,5.38343125190676e-001°)
2.08449088309726e+001	(-1.45101337365001e+002dB,5.39584060970970e-001°)
2.08929613085401e+001	(-1.45101335556626e+002dB,5.40827854994335e-001°)
2.09411245585086e+001	(-1.45101333770590e+002dB,5.42074517648368e-001°)
2.09893988362349e+001	(-1.45101331976311e+002dB,5.43324053642216e-001°)
2.10377843976644e+001	(-1.45101330173750e+002dB,5.44576469594790e-001°)
2.10862814993326e+001	(-1.45101328362870e+002dB,5.45831772143408e-001°)
2.11348903983661e+001	(-1.45101326543632e+002dB,5.47089967936114e-001°)
2.11836113524847e+001	(-1.45101324715998e+002dB,5.48351063640899e-001°)
2.12324446200019e+001	(-1.45101322879928e+002dB,5.49615065938014e-001°)
2.12813904598268e+001	(-1.45101321035385e+002dB,5.50881981524582e-001°)
2.13304491314654e+001	(-1.45101319182328e+002dB,5.52151817113064e-001°)
2.13796208950220e+001	(-1.45101317320718e+002dB,5.53424579428175e-001°)
2.14289060112002e+001	(-1.45101315450517e+002dB,5.54700275219193e-001°)
2.14783047413050e+001	(-1.45101313571684e+002dB,5.55978911238430e-001°)
2.15278173472434e+001	(-1.45101311684179e+002dB,5.57260494262754e-001°)
2.15774440915263e+001	(-1.45101309787963e+002dB,5.58545031081293e-001°)
2.16271852372698e+001	(-1.45101307852451e+002dB,5.59832526531351e-001°)
2.16770410481966e+001	(-1.45101305938691e+002dB,5.61122991367110e-001°)
2.17270117886371e+001	(-1.45101304016099e+002dB,5.62416430459530e-001°)
2.17770977235312e+001	(-1.45101302084633e+002dB,5.63712850660607e-001°)
2.18272991184297e+001	(-1.45101300144252e+002dB,5.65012258840742e-001°)
2.18776162394952e+001	(-1.45101298194917e+002dB,5.66314661884132e-001°)
2.19280493535041e+001	(-1.45101296236584e+002dB,5.67620066687232e-001°)
2.19785987278479e+001	(-1.45101294269213e+002dB,5.68928480169511e-001°)
2.20292646305342e+001	(-1.45101292292761e+002dB,5.70239909258086e-001°)
2.20800473301886e+001	(-1.45101290307188e+002dB,5.71554360906162e-001°)
2.21309470960560e+001	(-1.45101288312451e+002dB,5.72871842073055e-001°)
2.21819641980018e+001	(-1.45101286308507e+002dB,5.74192359741094e-001°)
2.22330989065137e+001	(-1.45101284295315e+002dB,5.75515920903326e-001°)
2.22843514927027e+001	(-1.45101282242288e+002dB,5.76842530545773e-001°)
2.23357222283049e+001	(-1.45101280210469e+002dB,5.78172199744475e-001°)
2.23872113856830e+001	(-1.45101278169273e+002dB,5.79504933523851e-001°)
2.24388192378273e+001	(-1.45101276118657e+002dB,5.80840738942874e-001°)
2.24905460583574e+001	(-1.45101274058576e+002dB,5.82179623077386e-001°)
2.25423921215239e+001	(-1.45101271988987e+002dB,5.83521593021630e-001°)
2.25943577022094e+001	(-1.45101269909846e+002dB,5.84866655883637e-001°)
2.26464430759302e+001	(-1.45101267821110e+002dB,5.86214818786770e-001°)
2.26986485188378e+001	(-1.45101265722733e+002dB,5.87566088875863e-001°)
2.27509743077203e+001	(-1.45101263614672e+002dB,5.88920473309541e-001°)
