Freq.	V(vd)
1.09144033644875e+001	(-4.97381612940366e-003dB,-1.61834734639074e-004°)
1.09395636627209e+001	(-4.97381612956286e-003dB,-1.62207802231689e-004°)
1.09647819614318e+001	(-4.97381612972207e-003dB,-1.62581729833924e-004°)
1.09900583943252e+001	(-4.97381612988320e-003dB,-1.62956519428306e-004°)
1.10153930954141e+001	(-4.97381613004723e-003dB,-1.63332173001932e-004°)
1.10407861990207e+001	(-4.97381613020933e-003dB,-1.63708692546480e-004°)
1.10662378397766e+001	(-4.97381613037336e-003dB,-1.64086080058219e-004°)
1.10917481526240e+001	(-4.97381613053643e-003dB,-1.64464337538021e-004°)
1.11173172728159e+001	(-4.97381613070335e-003dB,-1.64843466991368e-004°)
1.11429453359173e+001	(-4.97381613086835e-003dB,-1.65223470428367e-004°)
1.11686324778056e+001	(-4.97381613103430e-003dB,-1.65604349863759e-004°)
1.11943788346715e+001	(-4.97381613120123e-003dB,-1.65986107316929e-004°)
1.12201845430196e+001	(-4.97381613137105e-003dB,-1.66368744811916e-004°)
1.12460497396692e+001	(-4.97381613153990e-003dB,-1.66752264377427e-004°)
1.12719745617551e+001	(-4.97381613170972e-003dB,-1.67136668046844e-004°)
1.12979591467279e+001	(-4.97381613188147e-003dB,-1.67521957858236e-004°)
1.13240036323555e+001	(-4.97381613205225e-003dB,-1.67908135854373e-004°)
1.13501081567231e+001	(-4.97381613222497e-003dB,-1.68295204082731e-004°)
1.13762728582343e+001	(-4.97381613239768e-003dB,-1.68683164595509e-004°)
1.14024978756117e+001	(-4.97381613257039e-003dB,-1.69072019449633e-004°)
1.14287833478977e+001	(-4.97381613274600e-003dB,-1.69461770706773e-004°)
1.14551294144553e+001	(-4.97381613292064e-003dB,-1.69852420433352e-004°)
1.14815362149688e+001	(-4.97381613309625e-003dB,-1.70243970700556e-004°)
1.15080038894443e+001	(-4.97381613327283e-003dB,-1.70636423584346e-004°)
1.15345325782109e+001	(-4.97381613345133e-003dB,-1.71029781165467e-004°)
1.15611224219210e+001	(-4.97381613363080e-003dB,-1.71424045529462e-004°)
1.15877735615512e+001	(-4.97381613381026e-003dB,-1.71819218766682e-004°)
1.16144861384034e+001	(-4.97381613398877e-003dB,-1.72215302972295e-004°)
1.16412602941049e+001	(-4.97381613417016e-003dB,-1.72612300246301e-004°)
1.16680961706096e+001	(-4.97381613435349e-003dB,-1.73010212693541e-004°)
1.16949939101987e+001	(-4.97381613453682e-003dB,-1.73409042423705e-004°)
1.17219536554813e+001	(-4.97381613471918e-003dB,-1.73808791551350e-004°)
1.17489755493953e+001	(-4.97381613490540e-003dB,-1.74209462195905e-004°)
1.17760597352080e+001	(-4.97381613508969e-003dB,-1.74611056481687e-004°)
1.18032063565173e+001	(-4.97381613527592e-003dB,-1.75013576537908e-004°)
1.18304155572516e+001	(-4.97381613546407e-003dB,-1.75417024498690e-004°)
1.18576874816716e+001	(-4.97381613565029e-003dB,-1.75821402503074e-004°)
1.18850222743701e+001	(-4.97381613583844e-003dB,-1.76226712695031e-004°)
1.19124200802737e+001	(-4.97381613602852e-003dB,-1.76632957223476e-004°)
1.19398810446427e+001	(-4.97381613622053e-003dB,-1.77040138242277e-004°)
1.19674053130724e+001	(-4.97381613641061e-003dB,-1.77448257910268e-004°)
1.19949930314937e+001	(-4.97381613660263e-003dB,-1.77857318391257e-004°)
1.20226443461741e+001	(-4.97381613679657e-003dB,-1.78267321854043e-004°)
1.20503594037179e+001	(-4.97381613699051e-003dB,-1.78678270472423e-004°)
1.20781383510678e+001	(-4.97381613718541e-003dB,-1.79090166425207e-004°)
1.21059813355048e+001	(-4.97381613738128e-003dB,-1.79503011896225e-004°)
1.21338885046497e+001	(-4.97381613757812e-003dB,-1.79916809074343e-004°)
1.21618600064636e+001	(-4.97381613777496e-003dB,-1.80331560153472e-004°)
1.21898959892486e+001	(-4.97381613797372e-003dB,-1.80747267332583e-004°)
1.22179966016487e+001	(-4.97381613817345e-003dB,-1.81163932815711e-004°)
1.22461619926504e+001	(-4.97381613837318e-003dB,-1.81581558811977e-004°)
1.22743923115840e+001	(-4.97381613857484e-003dB,-1.82000147535592e-004°)
1.23026877081238e+001	(-4.97381613877843e-003dB,-1.82419701205872e-004°)
1.23310483322890e+001	(-4.97381613898105e-003dB,-1.82840222047248e-004°)
1.23594743344450e+001	(-4.97381613918464e-003dB,-1.83261712289280e-004°)
1.23879658653036e+001	(-4.97381613938920e-003dB,-1.83684174166667e-004°)
1.24165230759240e+001	(-4.97381613959665e-003dB,-1.84107609919261e-004°)
1.24451461177138e+001	(-4.97381613980313e-003dB,-1.84532021792075e-004°)
1.24738351424294e+001	(-4.97381614001251e-003dB,-1.84957412035299e-004°)
1.25025903021771e+001	(-4.97381614021900e-003dB,-1.85383782904309e-004°)
1.25314117494141e+001	(-4.97381614042934e-003dB,-1.85811136659682e-004°)
1.25602996369487e+001	(-4.97381614064161e-003dB,-1.86239475567205e-004°)
1.25892541179416e+001	(-4.97381614085099e-003dB,-1.86668801897888e-004°)
1.26182753459066e+001	(-4.97381614106519e-003dB,-1.87099117927976e-004°)
1.26473634747114e+001	(-4.97381614127843e-003dB,-1.87530425938962e-004°)
1.26765186585784e+001	(-4.97381614149457e-003dB,-1.87962728217598e-004°)
1.27057410520853e+001	(-4.97381614171070e-003dB,-1.88396027055908e-004°)
1.27350308101665e+001	(-4.97381614192587e-003dB,-1.88830324751199e-004°)
1.27643880881134e+001	(-4.97381614214490e-003dB,-1.89265623606074e-004°)
1.27938130415752e+001	(-4.97381614236296e-003dB,-1.89701925928445e-004°)
1.28233058265601e+001	(-4.97381614258199e-003dB,-1.90139234031543e-004°)
1.28528665994361e+001	(-4.97381614280391e-003dB,-1.90577550233932e-004°)
1.28824955169313e+001	(-4.97381614302487e-003dB,-1.91016876859521e-004°)
1.29121927361353e+001	(-4.97381614324775e-003dB,-1.91457216237576e-004°)
1.29419584144998e+001	(-4.97381614347161e-003dB,-1.91898570702732e-004°)
1.29717927098395e+001	(-4.97381614369546e-003dB,-1.92340942595007e-004°)
1.30016957803328e+001	(-4.97381614392220e-003dB,-1.92784334259813e-004°)
1.30316677845229e+001	(-4.97381614414895e-003dB,-1.93228748047968e-004°)
1.30617088813183e+001	(-4.97381614437763e-003dB,-1.93674186315709e-004°)
1.30918192299940e+001	(-4.97381614460631e-003dB,-1.94120651424707e-004°)
1.31219989901920e+001	(-4.97381614483595e-003dB,-1.94568145742075e-004°)
1.31522483219223e+001	(-4.97381614506752e-003dB,-1.95016671640382e-004°)
1.31825673855640e+001	(-4.97381614529909e-003dB,-1.95466231497669e-004°)
1.32129563418657e+001	(-4.97381614553259e-003dB,-1.95916827697458e-004°)
1.32434153519466e+001	(-4.97381614576802e-003dB,-1.96368462628764e-004°)
1.32739445772973e+001	(-4.97381614600249e-003dB,-1.96821138686111e-004°)
1.33045441797808e+001	(-4.97381614624081e-003dB,-1.97274858269542e-004°)
1.33352143216332e+001	(-4.97381614647624e-003dB,-1.97729623784633e-004°)
1.33659551654643e+001	(-4.97381614671553e-003dB,-1.98185437642507e-004°)
1.33967668742593e+001	(-4.97381614695579e-003dB,-1.98642302259842e-004°)
1.34276496113785e+001	(-4.97381614719701e-003dB,-1.99100220058889e-004°)
1.34586035405594e+001	(-4.97381614743823e-003dB,-1.99559193467483e-004°)
1.34896288259164e+001	(-4.97381614768138e-003dB,-2.00019224919056e-004°)
1.35207256319427e+001	(-4.97381614792742e-003dB,-2.00480316852648e-004°)
1.35518941235103e+001	(-4.97381614817250e-003dB,-2.00942471712922e-004°)
1.35831344658714e+001	(-4.97381614841854e-003dB,-2.01405691950178e-004°)
1.36144468246594e+001	(-4.97381614866555e-003dB,-2.01869980020363e-004°)
1.36458313658891e+001	(-4.97381614891546e-003dB,-2.02335338385087e-004°)
1.36772882559584e+001	(-4.97381614916536e-003dB,-2.02801769511633e-004°)
1.37088176616484e+001	(-4.97381614941526e-003dB,-2.03269275872973e-004°)
1.37404197501251e+001	(-4.97381614966999e-003dB,-2.03737859947779e-004°)
1.37720946889394e+001	(-4.97381614992279e-003dB,-2.04207524220436e-004°)
1.38038426460287e+001	(-4.97381615017463e-003dB,-2.04678271181059e-004°)
1.38356637897177e+001	(-4.97381615043225e-003dB,-2.05150103325500e-004°)
1.38675582887188e+001	(-4.97381615068891e-003dB,-2.05623023155367e-004°)
1.38995263121334e+001	(-4.97381615094846e-003dB,-2.06097033178033e-004°)
1.39315680294529e+001	(-4.97381615120608e-003dB,-2.06572135906653e-004°)
1.39636836105593e+001	(-4.97381615146756e-003dB,-2.07048333860174e-004°)
1.39958732257261e+001	(-4.97381615172905e-003dB,-2.07525629563350e-004°)
1.40281370456195e+001	(-4.97381615199246e-003dB,-2.08004025546755e-004°)
1.40604752412990e+001	(-4.97381615225587e-003dB,-2.08483524346798e-004°)
1.40928879842186e+001	(-4.97381615252218e-003dB,-2.08964128505733e-004°)
1.41253754462274e+001	(-4.97381615278752e-003dB,-2.09445840571675e-004°)
1.41579377995707e+001	(-4.97381615305576e-003dB,-2.09928663098614e-004°)
1.41905752168908e+001	(-4.97381615332496e-003dB,-2.10412598646427e-004°)
1.42232878712281e+001	(-4.97381615359705e-003dB,-2.10897649780892e-004°)
1.42560759360218e+001	(-4.97381615386722e-003dB,-2.11383819073703e-004°)
1.42889395851109e+001	(-4.97381615414125e-003dB,-2.11871109102479e-004°)
1.43218789927353e+001	(-4.97381615441334e-003dB,-2.12359522450784e-004°)
1.43548943335364e+001	(-4.97381615468930e-003dB,-2.12849061708138e-004°)
1.43879857825583e+001	(-4.97381615496525e-003dB,-2.13339729470028e-004°)
1.44211535152486e+001	(-4.97381615524507e-003dB,-2.13831528337926e-004°)
1.44543977074592e+001	(-4.97381615552295e-003dB,-2.14324460919302e-004°)
1.44877185354475e+001	(-4.97381615580373e-003dB,-2.14818529827634e-004°)
1.45211161758773e+001	(-4.97381615608548e-003dB,-2.15313737682426e-004°)
1.45545908058195e+001	(-4.97381615636915e-003dB,-2.15810087109222e-004°)
1.45881426027534e+001	(-4.97381615665186e-003dB,-2.16307580739616e-004°)
1.46217717445671e+001	(-4.97381615693940e-003dB,-2.16806221211271e-004°)
1.46554784095590e+001	(-4.97381615722693e-003dB,-2.17306011167928e-004°)
1.46892627764385e+001	(-4.97381615751350e-003dB,-2.17806953259424e-004°)
1.47231250243271e+001	(-4.97381615780297e-003dB,-2.18309050141704e-004°)
1.47570653327588e+001	(-4.97381615809629e-003dB,-2.18812304476836e-004°)
1.47910838816819e+001	(-4.97381615838672e-003dB,-2.19316718933024e-004°)
1.48251808514594e+001	(-4.97381615868101e-003dB,-2.19822296184623e-004°)
1.48593564228699e+001	(-4.97381615897722e-003dB,-2.20329038912154e-004°)
1.48936107771090e+001	(-4.97381615927248e-003dB,-2.20836949802317e-004°)
1.49279440957898e+001	(-4.97381615956966e-003dB,-2.21346031548003e-004°)
1.49623565609442e+001	(-4.97381615987070e-003dB,-2.21856286848314e-004°)
1.49968483550236e+001	(-4.97381616017078e-003dB,-2.22367718408573e-004°)
1.50314196609001e+001	(-4.97381616047182e-003dB,-2.22880328940339e-004°)
1.50660706618673e+001	(-4.97381616077576e-003dB,-2.23394121161422e-004°)
1.51008015416413e+001	(-4.97381616108163e-003dB,-2.23909097795897e-004°)
1.51356124843619e+001	(-4.97381616138653e-003dB,-2.24425261574119e-004°)
1.51705036745932e+001	(-4.97381616169433e-003dB,-2.24942615232737e-004°)
1.52054752973248e+001	(-4.97381616200116e-003dB,-2.25461161514709e-004°)
1.52405275379728e+001	(-4.97381616231281e-003dB,-2.25980903169314e-004°)
1.52756605823806e+001	(-4.97381616262447e-003dB,-2.26501842952173e-004°)
1.53108746168202e+001	(-4.97381616293709e-003dB,-2.27023983625255e-004°)
1.53461698279928e+001	(-4.97381616325357e-003dB,-2.27547327956899e-004°)
1.53815464030302e+001	(-4.97381616356909e-003dB,-2.28071878721824e-004°)
1.54170045294954e+001	(-4.97381616388750e-003dB,-2.28597638701146e-004°)
1.54525443953840e+001	(-4.97381616420687e-003dB,-2.29124610682393e-004°)
1.54881661891247e+001	(-4.97381616452625e-003dB,-2.29652797459516e-004°)
1.55238700995807e+001	(-4.97381616484948e-003dB,-2.30182201832910e-004°)
1.55596563160506e+001	(-4.97381616517175e-003dB,-2.30712826609424e-004°)
1.55955250282694e+001	(-4.97381616549692e-003dB,-2.31244674602378e-004°)
1.56314764264094e+001	(-4.97381616582498e-003dB,-2.31777748631578e-004°)
1.56675107010813e+001	(-4.97381616615207e-003dB,-2.32312051523327e-004°)
1.57036280433354e+001	(-4.97381616648110e-003dB,-2.32847586110448e-004°)
1.57398286446620e+001	(-4.97381616681108e-003dB,-2.33384355232291e-004°)
1.57761126969933e+001	(-4.97381616714397e-003dB,-2.33922361734752e-004°)
1.58124803927037e+001	(-4.97381616747975e-003dB,-2.34461608470289e-004°)
1.58489319246110e+001	(-4.97381616781456e-003dB,-2.35002098297935e-004°)
1.58854674859776e+001	(-4.97381616815323e-003dB,-2.35543834083311e-004°)
1.59220872705115e+001	(-4.97381616849094e-003dB,-2.36086818698648e-004°)
1.59587914723672e+001	(-4.97381616883058e-003dB,-2.36631055022796e-004°)
1.59955802861465e+001	(-4.97381616917214e-003dB,-2.37176545941242e-004°)
1.60324539069002e+001	(-4.97381616951757e-003dB,-2.37723294346125e-004°)
1.60694125301286e+001	(-4.97381616986107e-003dB,-2.38271303136249e-004°)
1.61064563517825e+001	(-4.97381617020843e-003dB,-2.38820575217103e-004°)
1.61435855682647e+001	(-4.97381617055578e-003dB,-2.39371113500873e-004°)
1.61808003764305e+001	(-4.97381617090700e-003dB,-2.39922920906458e-004°)
1.62181009735891e+001	(-4.97381617125725e-003dB,-2.40476000359486e-004°)
1.62554875575047e+001	(-4.97381617161136e-003dB,-2.41030354792329e-004°)
1.62929603263970e+001	(-4.97381617196547e-003dB,-2.41585987144119e-004°)
1.63305194789432e+001	(-4.97381617232151e-003dB,-2.42142900360764e-004°)
1.63681652142779e+001	(-4.97381617268045e-003dB,-2.42701097394962e-004°)
1.64058977319952e+001	(-4.97381617303938e-003dB,-2.43260581206218e-004°)
1.64437172321491e+001	(-4.97381617340121e-003dB,-2.43821354760860e-004°)
1.64816239152549e+001	(-4.97381617376401e-003dB,-2.44383421032053e-004°)
1.65196179822900e+001	(-4.97381617412873e-003dB,-2.44946782999817e-004°)
1.65576996346951e+001	(-4.97381617449442e-003dB,-2.45511443651040e-004°)
1.65958690743754e+001	(-4.97381617486494e-003dB,-2.46077405979498e-004°)
1.66341265037015e+001	(-4.97381617523352e-003dB,-2.46644672985865e-004°)
1.66724721255104e+001	(-4.97381617560403e-003dB,-2.47213247677736e-004°)
1.67109061431069e+001	(-4.97381617597744e-003dB,-2.47783133069637e-004°)
1.67494287602642e+001	(-4.97381617635278e-003dB,-2.48354332183044e-004°)
1.67880401812254e+001	(-4.97381617672812e-003dB,-2.48926848046396e-004°)
1.68267406107045e+001	(-4.97381617710828e-003dB,-2.49500683695117e-004°)
1.68655302538872e+001	(-4.97381617748748e-003dB,-2.50075842171625e-004°)
1.69044093164324e+001	(-4.97381617787054e-003dB,-2.50652326525355e-004°)
1.69433780044731e+001	(-4.97381617825456e-003dB,-2.51230139812768e-004°)
1.69824365246172e+001	(-4.97381617863858e-003dB,-2.51809285097373e-004°)
1.70215850839493e+001	(-4.97381617902743e-003dB,-2.52389765449741e-004°)
1.70608238900310e+001	(-4.97381617941531e-003dB,-2.52971583947520e-004°)
1.71001531509027e+001	(-4.97381617980608e-003dB,-2.53554743675455e-004°)
1.71395730750841e+001	(-4.97381618019879e-003dB,-2.54139247725400e-004°)
1.71790838715757e+001	(-4.97381618059246e-003dB,-2.54725099196338e-004°)
1.72186857498599e+001	(-4.97381618098999e-003dB,-2.55312301194394e-004°)
1.72583789199018e+001	(-4.97381618138752e-003dB,-2.55900856832856e-004°)
1.72981635921508e+001	(-4.97381618178602e-003dB,-2.56490769232186e-004°)
1.73380399775412e+001	(-4.97381618218934e-003dB,-2.57082041520042e-004°)
1.73780082874935e+001	(-4.97381618259362e-003dB,-2.57674676831290e-004°)
1.74180687339159e+001	(-4.97381618299791e-003dB,-2.58268678308024e-004°)
1.74582215292048e+001	(-4.97381618340509e-003dB,-2.58864049099580e-004°)
1.74984668862464e+001	(-4.97381618381420e-003dB,-2.59460792362556e-004°)
1.75388050184174e+001	(-4.97381618422716e-003dB,-2.60058911260824e-004°)
1.75792361395867e+001	(-4.97381618463820e-003dB,-2.60658408965551e-004°)
1.76197604641161e+001	(-4.97381618505310e-003dB,-2.61259288655215e-004°)
1.76603782068614e+001	(-4.97381618546897e-003dB,-2.61861553515620e-004°)
1.77010895831740e+001	(-4.97381618588965e-003dB,-2.62465206739913e-004°)
1.77418948089014e+001	(-4.97381618630937e-003dB,-2.63070251528605e-004°)
1.77827941003890e+001	(-4.97381618673296e-003dB,-2.63676691089583e-004°)
1.78237876744807e+001	(-4.97381618715654e-003dB,-2.64284528638129e-004°)
1.78648757485203e+001	(-4.97381618758398e-003dB,-2.64893767396937e-004°)
1.79060585403527e+001	(-4.97381618801046e-003dB,-2.65504410596129e-004°)
1.79473362683250e+001	(-4.97381618844272e-003dB,-2.66116461473277e-004°)
1.79887091512877e+001	(-4.97381618887499e-003dB,-2.66729923273412e-004°)
1.80301774085955e+001	(-4.97381618930919e-003dB,-2.67344799249049e-004°)
1.80717412601090e+001	(-4.97381618974628e-003dB,-2.67961092660197e-004°)
1.81134009261958e+001	(-4.97381619018433e-003dB,-2.68578806774384e-004°)
1.81551566277311e+001	(-4.97381619062432e-003dB,-2.69197944866668e-004°)
1.81970085860996e+001	(-4.97381619106720e-003dB,-2.69818510219658e-004°)
1.82389570231961e+001	(-4.97381619151104e-003dB,-2.70440506123529e-004°)
1.82810021614272e+001	(-4.97381619195682e-003dB,-2.71063935876042e-004°)
1.83231442237119e+001	(-4.97381619240742e-003dB,-2.71688802782560e-004°)
1.83653834334832e+001	(-4.97381619285801e-003dB,-2.72315110156064e-004°)
1.84077200146893e+001	(-4.97381619331054e-003dB,-2.72942861317173e-004°)
1.84501541917945e+001	(-4.97381619376500e-003dB,-2.73572059594163e-004°)
1.84926861897805e+001	(-4.97381619422236e-003dB,-2.74202708322979e-004°)
1.85353162341479e+001	(-4.97381619468067e-003dB,-2.74834810847259e-004°)
1.85780445509167e+001	(-4.97381619514189e-003dB,-2.75468370518346e-004°)
1.86208713666284e+001	(-4.97381619560599e-003dB,-2.76103390695313e-004°)
1.86637969083464e+001	(-4.97381619607203e-003dB,-2.76739874744971e-004°)
1.87068214036578e+001	(-4.97381619653807e-003dB,-2.77377826041896e-004°)
1.87499450806739e+001	(-4.97381619700893e-003dB,-2.78017247968443e-004°)
1.87931681680324e+001	(-4.97381619748075e-003dB,-2.78658143914762e-004°)
1.88364908948977e+001	(-4.97381619795451e-003dB,-2.79300517278821e-004°)
1.88799134909627e+001	(-4.97381619843309e-003dB,-2.79944371466419e-004°)
1.89234361864495e+001	(-4.97381619890878e-003dB,-2.80589709891207e-004°)
1.89670592121112e+001	(-4.97381619939025e-003dB,-2.81236535974705e-004°)
1.90107827992327e+001	(-4.97381619987462e-003dB,-2.81884853146320e-004°)
1.90546071796322e+001	(-4.97381620035899e-003dB,-2.82534664843365e-004°)
1.90985325856621e+001	(-4.97381620084529e-003dB,-2.83185974511078e-004°)
1.91425592502106e+001	(-4.97381620133738e-003dB,-2.83838785602638e-004°)
1.91866874067026e+001	(-4.97381620182947e-003dB,-2.84493101579183e-004°)
1.92309172891013e+001	(-4.97381620232156e-003dB,-2.85148925909832e-004°)
1.92752491319091e+001	(-4.97381620282040e-003dB,-2.85806262071701e-004°)
1.93196831701690e+001	(-4.97381620331635e-003dB,-2.86465113549920e-004°)
1.93642196394658e+001	(-4.97381620381808e-003dB,-2.87125483837654e-004°)
1.94088587759275e+001	(-4.97381620432175e-003dB,-2.87787376436121e-004°)
1.94536008162263e+001	(-4.97381620482928e-003dB,-2.88450794854609e-004°)
1.94984459975802e+001	(-4.97381620533584e-003dB,-2.89115742610497e-004°)
1.95433945577537e+001	(-4.97381620584626e-003dB,-2.89782223229271e-004°)
1.95884467350596e+001	(-4.97381620635958e-003dB,-2.90450240244546e-004°)
1.96336027683602e+001	(-4.97381620687386e-003dB,-2.91119797198082e-004°)
1.96788628970682e+001	(-4.97381620739103e-003dB,-2.91790897639801e-004°)
1.97242273611483e+001	(-4.97381620791207e-003dB,-2.92463545127814e-004°)
1.97696964011183e+001	(-4.97381620843310e-003dB,-2.93137743228428e-004°)
1.98152702580507e+001	(-4.97381620895896e-003dB,-2.93813495516176e-004°)
1.98609491735734e+001	(-4.97381620948579e-003dB,-2.94490805573829e-004°)
1.99067333898716e+001	(-4.97381621001647e-003dB,-2.95169676992417e-004°)
1.99526231496885e+001	(-4.97381621054812e-003dB,-2.95850113371249e-004°)
1.99986186963271e+001	(-4.97381621108266e-003dB,-2.96532118317931e-004°)
2.00447202736513e+001	(-4.97381621161914e-003dB,-2.97215695448386e-004°)
2.00909281260870e+001	(-4.97381621215754e-003dB,-2.97900848386870e-004°)
2.01372424986236e+001	(-4.97381621270077e-003dB,-2.98587580765998e-004°)
2.01836636368153e+001	(-4.97381621324496e-003dB,-2.99275896226755e-004°)
2.02301917867824e+001	(-4.97381621379205e-003dB,-2.99965798418522e-004°)
2.02768271952125e+001	(-4.97381621434106e-003dB,-3.00657290999091e-004°)
2.03235701093619e+001	(-4.97381621489297e-003dB,-3.01350377634688e-004°)
2.03704207770569e+001	(-4.97381621544778e-003dB,-3.02045061999988e-004°)
2.04173794466950e+001	(-4.97381621600355e-003dB,-3.02741347778139e-004°)
2.04644463672464e+001	(-4.97381621656415e-003dB,-3.03439238660779e-004°)
2.05116217882553e+001	(-4.97381621712571e-003dB,-3.04138738348055e-004°)
2.05589059598411e+001	(-4.97381621769016e-003dB,-3.04839850548646e-004°)
2.06062991326997e+001	(-4.97381621825848e-003dB,-3.05542578979779e-004°)
2.06538015581050e+001	(-4.97381621882969e-003dB,-3.06246927367249e-004°)
2.07014134879101e+001	(-4.97381621940186e-003dB,-3.06952899445443e-004°)
2.07491351745488e+001	(-4.97381621997789e-003dB,-3.07660498957352e-004°)
2.07969668710366e+001	(-4.97381622055392e-003dB,-3.08369729654601e-004°)
2.08449088309726e+001	(-4.97381622113478e-003dB,-3.09080595297458e-004°)
2.08929613085401e+001	(-4.97381622171853e-003dB,-3.09793099654864e-004°)
2.09411245585086e+001	(-4.97381622230615e-003dB,-3.10507246504445e-004°)
2.09893988362349e+001	(-4.97381622289472e-003dB,-3.11223039632537e-004°)
2.10377843976644e+001	(-4.97381622348523e-003dB,-3.11940482834203e-004°)
2.10862814993326e+001	(-4.97381622407960e-003dB,-3.12659579913257e-004°)
2.11348903983661e+001	(-4.97381622467686e-003dB,-3.13380334682279e-004°)
2.11836113524847e+001	(-4.97381622527508e-003dB,-3.14102750962639e-004°)
2.12324446200019e+001	(-4.97381622587813e-003dB,-3.14826832584516e-004°)
2.12813904598268e+001	(-4.97381622648408e-003dB,-3.15552583386920e-004°)
2.13304491314654e+001	(-4.97381622709195e-003dB,-3.16280007217708e-004°)
2.13796208950220e+001	(-4.97381622770175e-003dB,-3.17009107933610e-004°)
2.14289060112002e+001	(-4.97381622831542e-003dB,-3.17739889400245e-004°)
2.14783047413050e+001	(-4.97381622893294e-003dB,-3.18472355492143e-004°)
2.15278173472434e+001	(-4.97381622955143e-003dB,-3.19206510092766e-004°)
2.15774440915263e+001	(-4.97381623017474e-003dB,-3.19942357094530e-004°)
2.16271852372698e+001	(-4.97381623079998e-003dB,-3.20679900398822e-004°)
2.16770410481966e+001	(-4.97381623142812e-003dB,-3.21419143916023e-004°)
2.17270117886371e+001	(-4.97381623205819e-003dB,-3.22160091565529e-004°)
2.17770977235312e+001	(-4.97381623269115e-003dB,-3.22902747275769e-004°)
2.18272991184297e+001	(-4.97381623332797e-003dB,-3.23647114984232e-004°)
2.18776162394952e+001	(-4.97381623396865e-003dB,-3.24393198637480e-004°)
2.19280493535041e+001	(-4.97381623461029e-003dB,-3.25141002191175e-004°)
2.19785987278479e+001	(-4.97381623525580e-003dB,-3.25890529610096e-004°)
2.20292646305342e+001	(-4.97381623590420e-003dB,-3.26641784868164e-004°)
2.20800473301886e+001	(-4.97381623655646e-003dB,-3.27394771948459e-004°)
2.21309470960560e+001	(-4.97381623720968e-003dB,-3.28149494843243e-004°)
2.21819641980018e+001	(-4.97381623786773e-003dB,-3.28905957553983e-004°)
2.22330989065137e+001	(-4.97381623852867e-003dB,-3.29664164091368e-004°)
2.22843514927027e+001	(-4.97381623919251e-003dB,-3.30424118475333e-004°)
